Date,C5TC,C2,C3,C5,C7,C8,C9,C10,C14,C16,C17
2014-02-24,11593.0,,,,,,,,,,
2014-02-25,12482.0,,,,,,,,,,
2014-02-26,13821.0,,,,,,,,,,
2014-02-27,14969.0,,,,,,,,,,
2014-02-28,15416.0,,,,,,,,,,
2014-03-03,16278.0,,,,,,,,,,
2014-03-04,18102.0,,,,,,,,,,
2014-03-05,20606.0,,,,,,,,,,
2014-03-06,24109.0,,,,,,,,,,
2014-03-07,26230.0,,,,,,,,,,
2014-03-10,26826.0,,,,,,,,,,
2014-03-11,27054.0,,,,,,,,,,
2014-03-12,22322.0,,,,,,,,,,
2014-03-13,22666.0,,,,,,,,,,
2014-03-14,22755.0,,,,,,,,,,
2014-03-17,22870.0,,,,,,,,,,
2014-03-18,24316.0,,,,,,,,,,
2014-03-19,26010.0,,,,,,,,,,
2014-03-20,27315.0,,,,,,,,,,
2014-03-21,26421.0,,,,,,,,,,
2014-03-24,26573.0,,,,,,,,,,
2014-03-25,25901.0,,,,,,,,,,
2014-03-26,23405.0,,,,,,,,,,
2014-03-27,21050.0,,,,,,,,,,
2014-03-28,20407.0,,,,,,,,,,
2014-03-31,20636.0,,,,,,,,,,
2014-04-01,19861.0,,,,,,,,,,
2014-04-02,18979.0,,,,,,,,,,
2014-04-03,18123.0,,,,,,,,,,
2014-04-04,17647.0,,,,,,,,,,
2014-04-07,17416.0,,,,,,,,,,
2014-04-08,14605.0,,,,,,,,,,
2014-04-09,13609.0,,,,,,,,,,
2014-04-10,12769.0,,,,,,,,,,
2014-04-11,12065.0,,,,,,,,,,
2014-04-14,11768.0,,,,,,,,,,
2014-04-15,11377.0,,,,,,,,,,
2014-04-16,10298.0,,,,,,,,,,
2014-04-17,10091.0,,,,,,,,,,
2014-04-22,10371.0,,,,,,,,,,
2014-04-23,10881.0,,,,,,,,,,
2014-04-24,11088.0,,,,,,,,,,
2014-04-25,11077.0,,,,,,,,,,
2014-04-28,10776.0,,,,,,,,,,
2014-04-29,10238.0,,,,,,,,,,
2014-04-30,10166.0,,,,,,,,,,
2014-05-01,11732.0,,,,,,,,,,
2014-05-02,12835.0,,,,,,,,,,
2014-05-06,12933.0,,,,,,,,,,
2014-05-07,12874.0,,,,,,,,,,
2014-05-08,12342.0,,,,,,,,,,
2014-05-09,11912.0,,,,,,,,,,
2014-05-12,11523.0,,,,,,,,,,
2014-05-13,11228.0,,,,,,,,,,
2014-05-14,11745.0,,,,,,,,,,
2014-05-15,12195.0,,,,,,,,,,
2014-05-16,12310.0,,,,,,,,,,
2014-05-19,12097.0,,,,,,,,,,
2014-05-20,11659.0,,,,,,,,,,
2014-05-21,11032.0,,,,,,,,,,
2014-05-22,10574.0,,,,,,,,,,
2014-05-23,10786.0,,,,,,,,,,
2014-05-27,11461.0,,,,,,,,,,
2014-05-28,11095.0,,,,,,,,,,
2014-05-29,10878.0,,,,,,,,,,
2014-05-30,10983.0,,,,,,,,,,
2014-06-02,11220.0,,,,,,,,,,
2014-06-03,11929.0,,,,,,,,,,
2014-06-04,12675.0,,,,,,,,,,
2014-06-05,13685.0,,,,,,,,,,
2014-06-06,14480.0,,,,,,,,,,
2014-06-09,15050.0,,,,,,,,,,
2014-06-10,15489.0,,,,,,,,,,
2014-06-11,14780.0,,,,,,,,,,
2014-06-12,14097.0,,,,,,,,,,
2014-06-13,13518.0,,,,,,,,,,
2014-06-16,13094.0,,,,,,,,,,
2014-06-17,12771.0,,,,,,,,,,
2014-06-18,13393.0,,,,,,,,,,
2014-06-19,14899.0,,,,,,,,,,
2014-06-20,15133.0,,,,,,,,,,
2014-06-23,14569.0,,,,,,,,,,
2014-06-24,14065.0,,,,,,,,,,
2014-06-25,13519.0,,,,,,,,,,
2014-06-26,12975.0,,,,,,,,,,
2014-06-27,13387.0,,,,,,,,,,
2014-06-30,14177.0,,,,,,,,,,
2014-07-01,15643.0,,,,,,,,,,
2014-07-02,15196.0,,,,,,,,,,
2014-07-03,14657.0,,,,,,,,,,
2014-07-04,14101.0,,,,,,,,,,
2014-07-07,13578.0,,,,,,,,,,
2014-07-08,13151.0,,,,,,,,,,
2014-07-09,12524.0,,,,,,,,,,
2014-07-10,11705.0,,,,,,,,,,
2014-07-11,11149.0,,,,,,,,,,
2014-07-14,10767.0,,,,,,,,,,
2014-07-15,10487.0,,,,,,,,,,
2014-07-16,9781.0,,,,,,,,,,
2014-07-17,9422.0,,,,,,,,,,
2014-07-18,9354.0,,,,,,,,,,
2014-07-21,9179.0,,,,,,,,,,
2014-07-22,9238.0,,,,,,,,,,
2014-07-23,9357.0,,,,,,,,,,
2014-07-24,9439.0,,,,,,,,,,
2014-07-25,9473.0,,,,,,,,,,
2014-07-28,9480.0,,,,,,,,,,
2014-07-29,9549.0,,,,,,,,,,
2014-07-30,9649.0,,,,,,,,,,
2014-07-31,9619.0,,,,,,,,,,
2014-08-01,9389.0,,,,,,,,,,
2014-08-04,9364.0,,,,,,,,,,
2014-08-05,9304.0,,,,,,,,,,
2014-08-06,9311.0,,,,,,,,,,
2014-08-07,9274.0,,,,,,,,,,
2014-08-08,9394.0,,,,,,,,,,
2014-08-11,9654.0,,,,,,,,,,
2014-08-12,10959.0,,,,,,,,,,
2014-08-13,11818.0,,,,,,,,,,
2014-08-14,13677.0,,,,,,,,,,
2014-08-15,15561.0,,,,,,,,,,
2014-08-18,16069.0,,,,,,,,,,
2014-08-19,15770.0,,,,,,,,,,
2014-08-20,16407.0,,,,,,,,,,
2014-08-21,17520.0,,,,,,,,,,
2014-08-22,17066.0,,,,,,,,,,
2014-08-26,16249.0,,,,,,,,,,
2014-08-27,15811.0,,,,,,,,,,
2014-08-28,17329.0,,,,,,,,,,
2014-08-29,17980.0,,,,,,,,,,
2014-09-01,17815.0,,,,,,,,,,
2014-09-02,17469.0,,,,,,,,,,
2014-09-03,16950.0,,,,,,,,,,
2014-09-04,16918.0,,,,,,,,,,
2014-09-05,17113.0,,,,,,,,,,
2014-09-08,17387.0,,,,,,,,,,
2014-09-09,18464.0,,,,,,,,,,
2014-09-10,18574.0,,,,,,,,,,
2014-09-11,18336.0,,,,,,,,,,
2014-09-12,18246.0,,,,,,,,,,
2014-09-15,17930.0,,,,,,,,,,
2014-09-16,17034.0,,,,,,,,,,
2014-09-17,16127.0,,,,,,,,,,
2014-09-18,14858.0,,,,,,,,,,
2014-09-19,14357.0,,,,,,,,,,
2014-09-22,14358.0,,,,,,,,,,
2014-09-23,14075.0,,,,,,,,,,
2014-09-24,13328.0,,,,,,,,,,
2014-09-25,12614.0,,,,,,,,,,
2014-09-26,12880.0,,,,,,,,,,
2014-09-29,13295.0,,,,,,,,,,
2014-09-30,13203.0,,,,,,,,,,
2014-10-01,12747.0,,,,,,,,,,
2014-10-02,12169.0,,,,,,,,,,
2014-10-03,12009.0,,,,,,,,,,
2014-10-06,11801.0,,,,,,,,,,
2014-10-07,11485.0,,,,,,,,,,
2014-10-08,10931.0,,,,,,,,,,
2014-10-09,10542.0,,,,,,,,,,
2014-10-10,10277.0,,,,,,,,,,
2014-10-13,10101.0,,,,,,,,,,
2014-10-14,9875.0,,,,,,,,,,
2014-10-15,9342.0,,,,,,,,,,
2014-10-16,9079.0,,,,,,,,,,
2014-10-17,9516.0,,,,,,,,,,
2014-10-20,10425.0,,,,,,,,,,
2014-10-21,14425.0,,,,,,,,,,
2014-10-22,15879.0,,,,,,,,,,
2014-10-23,16405.0,,,,,,,,,,
2014-10-24,17691.0,,,,,,,,,,
2014-10-27,20988.0,,,,,,,,,,
2014-10-28,24761.0,,,,,,,,,,
2014-10-29,25806.0,,,,,,,,,,
2014-10-30,25603.0,,,,,,,,,,
2014-10-31,25725.0,,,,,,,,,,
2014-11-03,26768.0,,,,,,,,,,
2014-11-04,27866.0,,,,,,,,,,
2014-11-05,27285.0,,,,,,,,,,
2014-11-06,26491.0,,,,,,,,,,
2014-11-07,26759.0,,,,,,,,,,
2014-11-10,26287.0,,,,,,,,,,
2014-11-11,24703.0,,,,,,,,,,
2014-11-12,23339.0,,,,,,,,,,
2014-11-13,21201.0,,,,,,,,,,
2014-11-14,21113.0,,,,,,,,,,
2014-11-17,21558.0,,,,,,,,,,
2014-11-18,22719.0,,,,,,,,,,
2014-11-19,22855.0,,,,,,,,,,
2014-11-20,23521.0,,,,,,,,,,
2014-11-21,22990.0,,,,,,,,,,
2014-11-24,22478.0,,,,,,,,,,
2014-11-25,22054.0,,,,,,,,,,
2014-11-26,19098.0,,,,,,,,,,
