Date,5TC_PCURMON,5TC_P+1MON,5TC_P+2MON,5TC_P+3MON,5TC_P+4MON,5TC_P+5MON,5TC_PCURQ,5TC_P+1Q,5TC_P+2Q,5TC_P+3Q,5TC_P+4Q,5TC_P+5Q,5TC_P+1CAL,5TC_P+2CAL,5TC_P+3CAL,5TC_P+4CAL,5TC_P+5CAL,5TC_P+6CAL,5TC_P+7CAL
2005-01-13,,,,,,,38561.0,39336.0,1336.0,,,,35061.0,23561.0,,,,,
2005-01-14,,,,,,,37936.0,38236.0,1336.0,,,,34386.0,23036.0,,,,,
2005-01-17,,,,,,,36399.0,37149.0,33419.0,,,,22774.0,17474.0,,,,,
2005-01-18,,,,,,,37461.0,38111.0,31836.0,,,,23261.0,17621.0,,,,,
2005-01-19,,,,,,,36336.0,36811.0,31536.0,,,,23161.0,17411.0,,,,,
2005-01-20,,,,,,,35211.0,35686.0,30346.0,,,,22461.0,17349.0,,,,,
2005-01-21,,,,,,,35361.0,36511.0,30886.0,,,,23061.0,17836.0,,,,,
2005-01-24,,,,,,,35711.0,36646.0,30936.0,,,,23211.0,17561.0,,,,,
2005-01-25,,,,,,,36361.0,37796.0,32136.0,,,,23761.0,17746.0,,,,,
2005-01-26,,,,,,,38361.0,39586.0,33436.0,,,,24361.0,17867.0,,,,,
2005-01-27,,,,,,,38086.0,39386.0,33861.0,,,,24511.0,17899.0,,,,,
2005-01-28,,,,,,,39211.0,40361.0,34651.0,,,,25061.0,17961.0,,,,,
2005-01-31,,,,,,,38611.0,39161.0,33786.0,,,,24811.0,17586.0,,,,,
2005-02-01,,,,,,,36411.0,36636.0,31361.0,,,,23811.0,17617.0,,,,,
2005-02-02,,,,,,,35061.0,35861.0,30761.0,,,,23236.0,17336.0,,,,,
2005-02-03,,,,,,,34836.0,35461.0,30411.0,,,,23236.0,17461.0,,,,,
2005-02-04,,,,,,,34711.0,36136.0,30536.0,,,,23486.0,17561.0,,,,,
2005-02-07,,,,,,,34736.0,36461.0,30736.0,,,,23796.0,17361.0,,,,,
2005-02-08,,,,,,,35936.0,38486.0,32386.0,,,,24111.0,17661.0,,,,,
2005-02-09,,,,,,,37711.0,40186.0,34036.0,,,,24621.0,17761.0,,,,,
2005-02-10,,,,,,,37836.0,39911.0,34386.0,,,,24861.0,17736.0,,,,,
2005-02-11,,,,,,,37736.0,39011.0,34086.0,,,,24836.0,17736.0,,,,,
2005-02-14,,,,,,,37886.0,40011.0,34986.0,,,,24936.0,17761.0,,,,,
2005-02-15,,,,,,,38286.0,40386.0,35136.0,,,,25061.0,17786.0,,,,,
2005-02-16,,,,,,,39811.0,40936.0,35736.0,,,,25336.0,17786.0,,,,,
2005-02-17,,,,,,,40186.0,40886.0,35511.0,,,,25191.0,17811.0,,,,,
2005-02-18,,,,,,,41261.0,41511.0,35386.0,,,,25136.0,17961.0,,,,,
2005-02-21,,,,,,,41136.0,40936.0,35161.0,,,,25116.0,17836.0,,,,,
2005-02-22,,,,,,,40111.0,40041.0,34636.0,,,,24961.0,17736.0,,,,,
2005-02-23,,,,,,,39211.0,38661.0,33411.0,,,,24761.0,17636.0,,,,,
2005-02-24,,,,,,,39166.0,38561.0,33736.0,,,,24586.0,17661.0,,,,,
2005-02-25,,,,,,,39211.0,38861.0,33486.0,,,,24836.0,17641.0,,,,,
2005-02-28,,,,,,,39161.0,38911.0,33336.0,,,,24761.0,17636.0,,,,,
2005-03-01,,,,,,,39136.0,39346.0,33336.0,31686.0,,,24836.0,17636.0,,,,,
2005-03-02,,,,,,,39536.0,39536.0,33711.0,32236.0,,,24829.0,17861.0,,,,,
2005-03-03,,,,,,,39936.0,40661.0,34311.0,32336.0,,,25161.0,17961.0,,,,,
2005-03-04,,,,,,,40386.0,41036.0,34886.0,33461.0,,,25301.0,18586.0,,,,,
2005-03-07,,,,,,,40911.0,41601.0,35361.0,33836.0,,,25326.0,18861.0,,,,,
2005-03-08,,,,,,,41136.0,41711.0,35636.0,33986.0,,,25446.0,18961.0,,,,,
2005-03-09,,,,,,,41111.0,41636.0,35586.0,34136.0,,,25416.0,18936.0,,,,,
2005-03-10,,,,,,,41536.0,42111.0,35911.0,34311.0,,,25546.0,19036.0,,,,,
2005-03-11,,,,,,,41386.0,41611.0,35761.0,34136.0,,,25461.0,19036.0,,,,,
2005-03-14,,,,,,,40836.0,40186.0,34261.0,33086.0,,,25149.0,18786.0,,,,,
