Date,P5TC,P1A,P2A,P3A,P4,P5,P6,P7,P8
2018-01-15,11895.0,11867.0,19205.0,10595.0,5477.0,10522.0,12705.0,,
2018-01-16,11840.0,11789.0,19071.0,10482.0,5414.0,10300.0,12747.0,,
2018-01-17,11764.0,11706.0,18850.0,10372.0,5348.0,10144.0,12750.0,,
2018-01-18,11758.0,11667.0,18750.0,10371.0,5324.0,10156.0,12803.0,,
2018-01-19,11984.0,12039.0,18947.0,10508.0,5371.0,10183.0,13050.0,,
2018-01-22,12256.0,12372.0,19200.0,10818.0,5487.0,10244.0,13300.0,,
2018-01-23,12660.0,12894.0,19537.0,11362.0,5582.0,10750.0,13613.0,,
2018-01-24,13110.0,13900.0,19975.0,11678.0,5642.0,11261.0,13845.0,,
2018-01-25,13285.0,14278.0,20265.0,11881.0,5669.0,11628.0,13840.0,,
2018-01-26,13348.0,14444.0,20338.0,11910.0,5698.0,11850.0,13853.0,,
2018-01-29,13272.0,14239.0,20247.0,11892.0,5706.0,11911.0,13813.0,,
2018-01-30,12950.0,13733.0,19880.0,11582.0,5686.0,11900.0,13550.0,,
2018-01-31,12591.0,13283.0,19518.0,11173.0,5613.0,11717.0,13213.0,,
2018-02-01,12310.0,12806.0,19200.0,10975.0,5561.0,11467.0,12962.0,,
2018-02-02,12122.0,12578.0,18968.0,10796.0,5517.0,11239.0,12768.0,,
2018-02-05,11953.0,12272.0,18817.0,10645.0,5479.0,11117.0,12647.0,,
2018-02-06,11743.0,11894.0,18638.0,10475.0,5413.0,10872.0,12485.0,,
2018-02-07,11492.0,11511.0,18422.0,10281.0,5380.0,10611.0,12213.0,,
2018-02-08,11266.0,11128.0,18133.0,10100.0,5308.0,10344.0,12048.0,,
2018-02-09,11149.0,10950.0,18018.0,10012.0,5269.0,10172.0,11934.0,,
2018-02-12,11087.0,10828.0,17945.0,9975.0,5246.0,10056.0,11891.0,,
2018-02-13,11004.0,10567.0,17800.0,10022.0,5234.0,9928.0,11843.0,,
2018-02-14,11075.0,10600.0,17825.0,10132.0,5246.0,9861.0,11951.0,,
2018-02-15,11244.0,10883.0,18028.0,10225.0,5254.0,9863.0,12130.0,,
2018-02-16,11436.0,11172.0,18155.0,10459.0,5300.0,,12275.0,,
2018-02-19,11593.0,11444.0,18289.0,10648.0,5324.0,9925.0,12361.0,,
2018-02-20,12003.0,12044.0,18532.0,11073.0,5376.0,10238.0,12775.0,,
2018-02-21,12551.0,12911.0,19070.0,11550.0,5492.0,10563.0,13265.0,,
2018-02-22,13026.0,13578.0,19483.0,11974.0,5599.0,10961.0,13765.0,,
2018-02-23,13409.0,14078.0,19896.0,12362.0,5688.0,11267.0,14135.0,,
2018-02-26,13585.0,14283.0,20078.0,12581.0,5763.0,11456.0,14283.0,,
2018-02-27,13651.0,14350.0,20165.0,12681.0,5806.0,11972.0,14320.0,,
2018-02-28,13587.0,14250.0,20148.0,12674.0,5822.0,12300.0,14195.0,,
2018-03-01,13502.0,14044.0,20105.0,12729.0,5843.0,12417.0,14048.0,,
2018-03-02,13452.0,13900.0,20007.0,12795.0,5854.0,12663.0,13973.0,,
2018-03-05,13477.0,13883.0,19977.0,12890.0,5878.0,12731.0,13995.0,,
2018-03-06,13679.0,14067.0,20097.0,13275.0,5931.0,12940.0,14137.0,,
2018-03-07,13943.0,14311.0,20255.0,13696.0,5986.0,13183.0,14390.0,,
2018-03-08,14281.0,14694.0,20453.0,14241.0,6087.0,13406.0,14645.0,,
2018-03-09,14510.0,14950.0,20770.0,14465.0,6106.0,13544.0,14895.0,,
2018-03-12,14612.0,15051.0,20945.0,14562.0,6108.0,13589.0,15010.0,,
2018-03-13,14611.0,14961.0,20950.0,14612.0,6118.0,13756.0,15035.0,,
2018-03-14,14610.0,14933.0,20865.0,14646.0,6113.0,13839.0,15057.0,,
2018-03-15,14581.0,14861.0,20858.0,14621.0,6118.0,13922.0,15043.0,,
2018-03-16,14559.0,14756.0,20880.0,14654.0,6128.0,13994.0,15020.0,,
2018-03-19,14598.0,14722.0,20947.0,14723.0,6136.0,14058.0,15095.0,,
2018-03-20,14603.0,14533.0,20922.0,14832.0,6133.0,14267.0,15187.0,,
2018-03-21,14554.0,14294.0,20859.0,14910.0,6141.0,14606.0,15177.0,,
2018-03-22,14460.0,14061.0,20762.0,14799.0,6134.0,14678.0,15185.0,,
2018-03-23,14387.0,13922.0,20740.0,14658.0,6242.0,14689.0,15145.0,,
2018-03-26,14295.0,13783.0,20650.0,14481.0,6252.0,14656.0,15130.0,,
2018-03-27,14102.0,13494.0,20470.0,14148.0,6261.0,14500.0,15062.0,,
2018-03-28,13814.0,13106.0,20210.0,13744.0,6224.0,14328.0,14860.0,,
2018-03-29,13616.0,12931.0,20016.0,13446.0,6213.0,13844.0,14663.0,,
2018-04-02,,,,,,13694.0,,,
2018-04-03,13288.0,12556.0,19729.0,12955.0,6022.0,13106.0,14449.0,,
2018-04-04,12829.0,11983.0,19214.0,12325.0,5861.0,12556.0,14149.0,,
2018-04-05,12393.0,11483.0,18784.0,11717.0,5667.0,11763.0,13825.0,,
2018-04-06,12233.0,11367.0,18533.0,11459.0,5579.0,11331.0,13717.0,,
2018-04-09,12202.0,11339.0,18533.0,11429.0,5586.0,11017.0,13661.0,,
2018-04-10,12258.0,11378.0,18540.0,11452.0,5592.0,11033.0,13790.0,,
2018-04-11,12299.0,11417.0,18615.0,11472.0,5598.0,11161.0,13850.0,,
2018-04-12,12383.0,11431.0,18824.0,11538.0,5625.0,11211.0,13985.0,,
2018-04-13,12582.0,11650.0,19088.0,11637.0,5719.0,11200.0,14266.0,,
2018-04-16,12663.0,11756.0,19180.0,11672.0,5758.0,11189.0,14375.0,,
2018-04-17,12584.0,11711.0,19145.0,11481.0,5742.0,11000.0,14325.0,,
2018-04-18,12355.0,11467.0,19025.0,11067.0,5693.0,10839.0,14164.0,,
2018-04-19,12146.0,11206.0,18790.0,10827.0,5663.0,10672.0,13975.0,,
2018-04-20,11963.0,10961.0,18629.0,10622.0,5629.0,10544.0,13805.0,,
2018-04-23,11895.0,10844.0,18573.0,10579.0,5636.0,10489.0,13729.0,,
2018-04-24,11807.0,10767.0,18292.0,10568.0,5633.0,10472.0,13604.0,,
2018-04-25,11761.0,10639.0,18130.0,10711.0,5633.0,10589.0,13490.0,,
2018-04-26,11788.0,10589.0,17975.0,11139.0,5638.0,10744.0,13315.0,,
2018-04-27,11798.0,10489.0,17830.0,11412.0,5688.0,10911.0,13235.0,,
2018-04-30,11805.0,10456.0,17834.0,11533.0,5693.0,10986.0,13185.0,,
2018-05-01,11754.0,10336.0,17764.0,11538.0,5700.0,,13129.0,,
2018-05-02,11725.0,10256.0,17670.0,11647.0,5699.0,11033.0,13040.0,,
2018-05-03,11739.0,10172.0,17630.0,11820.0,5718.0,11144.0,13020.0,,
2018-05-04,11696.0,9983.0,17514.0,11968.0,5726.0,11253.0,12947.0,,
2018-05-07,,,,,,11317.0,,,
2018-05-08,11599.0,9800.0,17295.0,12102.0,5733.0,11439.0,12735.0,,
2018-05-09,11544.0,9622.0,17109.0,12304.0,5794.0,11578.0,12574.0,,
2018-05-10,11500.0,9359.0,17024.0,12503.0,5826.0,11661.0,12499.0,,
2018-05-11,11506.0,9306.0,17009.0,12606.0,5837.0,11733.0,12478.0,,
2018-05-14,11450.0,9167.0,16932.0,12627.0,5839.0,11750.0,12415.0,,
2018-05-15,11417.0,9089.0,16854.0,12699.0,5842.0,11789.0,12335.0,,
2018-05-16,11381.0,8981.0,16803.0,12773.0,5875.0,11856.0,12250.0,,
2018-05-17,11354.0,8975.0,16797.0,12854.0,5846.0,12017.0,12108.0,,
2018-05-18,11366.0,9031.0,16823.0,12910.0,5817.0,12078.0,12057.0,,
2018-05-21,11345.0,9034.0,16825.0,12917.0,5809.0,12117.0,11981.0,,
2018-05-22,11311.0,8994.0,16763.0,12925.0,5780.0,12225.0,11922.0,,
2018-05-23,11191.0,8750.0,16624.0,12765.0,5776.0,12367.0,11907.0,,
2018-05-24,11028.0,8511.0,16534.0,12422.0,5778.0,12361.0,11880.0,,
2018-05-25,10885.0,8367.0,16452.0,12122.0,5774.0,12263.0,11800.0,,
2018-05-28,,,,,,12033.0,,,
2018-05-29,10703.0,8211.0,16302.0,11730.0,5707.0,,11722.0,,
