Date,S10TC,S1B,S1C,S2,S3,S4A,S4B,S5,S8,S9,S10,S15
2015-07-31,9353.0,,,,,,,,,,,
2015-08-03,9354.0,,,,,,,,,,,
2015-08-04,9312.0,,,,,,,,,,,
2015-08-05,9319.0,,,,,,,,,,,
2015-08-06,9315.0,,,,,,,,,,,
2015-08-07,9320.0,,,,,,,,,,,
2015-08-10,9285.0,,,,,,,,,,,
2015-08-11,9280.0,,,,,,,,,,,
2015-08-12,9270.0,,,,,,,,,,,
2015-08-13,9252.0,,,,,,,,,,,
2015-08-14,9258.0,,,,,,,,,,,
2015-08-17,9335.0,,,,,,,,,,,
2015-08-18,9391.0,,,,,,,,,,,
2015-08-19,9415.0,,,,,,,,,,,
2015-08-20,9433.0,,,,,,,,,,,
2015-08-21,9443.0,,,,,,,,,,,
2015-08-24,9450.0,,,,,,,,,,,
2015-08-25,9455.0,,,,,,,,,,,
2015-08-26,9418.0,,,,,,,,,,,
2015-08-27,9382.0,,,,,,,,,,,
2015-08-28,9326.0,,,,,,,,,,,
2015-09-01,9171.0,,,,,,,,,,,
2015-09-02,8991.0,,,,,,,,,,,
2015-09-03,8801.0,,,,,,,,,,,
2015-09-04,8656.0,,,,,,,,,,,
2015-09-07,8510.0,,,,,,,,,,,
2015-09-08,8407.0,,,,,,,,,,,
2015-09-09,8294.0,,,,,,,,,,,
2015-09-10,8158.0,,,,,,,,,,,
2015-09-11,8031.0,,,,,,,,,,,
2015-09-14,7938.0,,,,,,,,,,,
2015-09-15,7856.0,,,,,,,,,,,
2015-09-16,7772.0,,,,,,,,,,,
2015-09-17,7674.0,,,,,,,,,,,
2015-09-18,7587.0,,,,,,,,,,,
2015-09-21,7542.0,,,,,,,,,,,
2015-09-22,7485.0,,,,,,,,,,,
2015-09-23,7384.0,,,,,,,,,,,
2015-09-24,7308.0,,,,,,,,,,,
2015-09-25,7238.0,,,,,,,,,,,
2015-09-28,7154.0,,,,,,,,,,,
2015-09-29,7031.0,,,,,,,,,,,
2015-09-30,6934.0,,,,,,,,,,,
2015-10-01,6848.0,,,,,,,,,,,
2015-10-02,6782.0,,,,,,,,,,,
2015-10-05,6738.0,,,,,,,,,,,
2015-10-06,6684.0,,,,,,,,,,,
2015-10-07,6636.0,,,,,,,,,,,
2015-10-08,6620.0,,,,,,,,,,,
2015-10-09,6615.0,,,,,,,,,,,
2015-10-12,6611.0,,,,,,,,,,,
