Date,C5TC,P5TC,S10TC,HS7TC
24/02/2014,11593,11159,11753,11800
25/02/2014,12482,10881,11755,11802
26/02/2014,13821,10619,11765,11735
27/02/2014,14969,10379,11800,11711
28/02/2014,15416,10184,11823,11650
03/03/2014,16278,10027,11867,11618
04/03/2014,18102,9884,11950,11582
05/03/2014,20606,9812,11959,11579
06/03/2014,24109,9838,12020,11607
07/03/2014,26230,9987,12124,11620
10/03/2014,26826,10093,12187,11628
11/03/2014,27054,10221,12307,11677
12/03/2014,22322,10208,12411,11708
13/03/2014,22666,10233,12562,11717
14/03/2014,22755,10292,12661,11771
17/03/2014,22870,10318,12747,11777
18/03/2014,24316,10337,12815,11758
19/03/2014,26010,10351,12843,11762
20/03/2014,27315,10355,12891,11847
21/03/2014,26421,10292,12936,11903
24/03/2014,26573,10252,12910,11946
25/03/2014,25901,10105,12853,11953
26/03/2014,23405,9897,12633,11913
27/03/2014,21050,9546,12207,11746
28/03/2014,20407,9224,11952,11610
31/03/2014,20636,8936,11695,11508
01/04/2014,19861,8573,11460,11375
02/04/2014,18979,8331,11241,11218
03/04/2014,18123,8081,11009,11046
04/04/2014,17647,7967,10785,10875
07/04/2014,17416,7884,10563,10729
08/04/2014,14605,7800,10385,10609
09/04/2014,13609,7738,10218,10466
10/04/2014,12769,7682,10077,10341
11/04/2014,12065,7648,9989,10248
14/04/2014,11768,7611,9919,10144
15/04/2014,11377,7604,9869,10049
16/04/2014,10298,7717,9799,9947
17/04/2014,10091,7875,9789,9894
22/04/2014,10371,8004,9796,9811
23/04/2014,10881,8093,9820,9761
24/04/2014,11088,8189,9802,9699
25/04/2014,11077,8289,9824,9662
28/04/2014,10776,8320,9866,9661
29/04/2014,10238,8352,9931,9634
30/04/2014,10166,8338,9902,9599
01/05/2014,11732,8332,9865,9615
02/05/2014,12835,8286,9861,9550
06/05/2014,12933,8293,9882,9550
07/05/2014,12874,8318,9915,9530
08/05/2014,12342,8394,9889,9518
09/05/2014,11912,8543,9793,9480
12/05/2014,11523,8641,9761,9462
13/05/2014,11228,8815,9742,9418
14/05/2014,11745,9102,9741,9343
15/05/2014,12195,9470,9710,9229
16/05/2014,12310,9664,9688,9161
19/05/2014,12097,9773,9664,9120
20/05/2014,11659,9824,9608,9099
21/05/2014,11032,9784,9535,9061
22/05/2014,10574,9562,9415,9059
23/05/2014,10786,9352,9345,9055
27/05/2014,11461,9110,9236,9068
28/05/2014,11095,8863,9142,9072
29/05/2014,10878,8581,9062,9141
30/05/2014,10983,8329,8971,9162
02/06/2014,11220,8122,8963,9164
03/06/2014,11929,7883,8961,9170
04/06/2014,12675,7646,8873,9148
05/06/2014,13685,7416,8775,9123
06/06/2014,14480,7174,8682,9101
09/06/2014,15050,7055,8629,9068
10/06/2014,15489,6945,8525,9019
11/06/2014,14780,6782,8382,8936
12/06/2014,14097,6428,8242,8876
13/06/2014,13518,6006,8115,8799
16/06/2014,13094,5688,8026,8670
17/06/2014,12771,5461,7859,8616
18/06/2014,13393,5289,7765,8579
19/06/2014,14899,5141,7696,8573
20/06/2014,15133,5038,7649,8557
23/06/2014,14569,4964,7623,8547
24/06/2014,14065,4917,7550,8506
25/06/2014,13519,4813,7479,8438
26/06/2014,12975,4732,7393,8348
27/06/2014,13387,4698,7386,8242
30/06/2014,14177,4733,7355,8127
01/07/2014,15643,4910,7361,8079
02/07/2014,15196,5226,7368,8050
03/07/2014,14657,5798,7405,8001
04/07/2014,14101,6458,7422,7974
